"year_month","Belmont","Brisbane","Burlingame","Campbell","Cupertino","Daly City","East Palo Alto","Foster City","Gilroy","Half Moon Bay","Los Gatos","Menlo Park","Millbrae","Milpitas","Mountain View","Pacifica","Palo Alto","Redwood City","San Bruno","San Carlos","San Jose","San Mateo","Santa Clara","South San Francisco","Sunnyvale"
"2010_11",2189,2220,2307,2041,2271,1847,2147,1996,1764,2202,2380,2783,2187,1998,2232,2321,2575,2365,1697,2172,1821,1926,2061,1910,2219
"2010_12",2225,2243,2392,2067,2309,1892,2151,2018,1774,2238,2404,2755,2217,1996,2261,2387,2573,2420,1702,2196,1824,1944,2064,1929,2255
"2011_01",2249,2277,2465,2069,2349,1918,2141,2064,1785,2269,2429,2734,2253,1986,2279,2440,2589,2412,1696,2232,1831,1988,2059,1934,2268
"2011_02",2254,2287,2533,2061,2379,1965,2116,2128,1798,2273,2450,2711,2294,1977,2291,2443,2621,2398,1693,2270,1835,2050,2042,1958,2268
"2011_03",2210,2291,2487,2056,2383,1986,2064,2197,1812,2225,2459,2638,2301,1980,2299,2356,2632,2330,1690,2290,1833,2096,2032,1976,2261
"2011_04",2135,2277,2402,2052,2385,1967,2004,2238,1820,2155,2462,2564,2279,1982,2304,2248,2615,2232,1691,2273,1836,2090,2027,1985,2262
"2011_05",2050,2273,2298,2044,2390,1918,1942,2274,1810,2089,2462,2531,2235,1990,2312,2154,2594,2147,1687,2255,1842,2057,2022,1976,2268
"2011_06",1996,2295,2261,2057,2400,1877,1888,2312,1795,2055,2469,2560,2223,2011,2335,2101,2599,2114,1665,2262,1849,2031,2039,1965,2283
"2011_07",1969,2330,2259,2083,2406,1869,1876,2349,1775,2063,2467,2562,2234,2036,2357,2086,2623,2130,1630,2287,1860,2033,2067,1975,2304
"2011_08",1972,2383,2285,2122,2421,1872,1889,2355,1756,2085,2462,2513,2266,2074,2382,2109,2684,2157,1683,2288,1878,2050,2108,1996,2334
"2011_09",1996,2431,2296,2150,2428,1894,1925,2334,1750,2130,2464,2459,2288,2102,2400,2159,2748,2193,1741,2266,1898,2068,2141,2020,2362
"2011_10",2020,2465,2317,2173,2437,1923,1966,2311,1758,2158,2485,2452,2314,2119,2421,2208,2838,2239,1819,2263,1914,2084,2168,2027,2386
"2011_11",2053,2480,2369,2186,2466,1983,2004,2356,1789,2196,2529,2483,2360,2121,2448,2258,2903,2307,1820,2312,1926,2131,2181,2044,2404
"2011_12",2052,2478,2382,2183,2479,2001,2044,2413,1800,2199,2551,2524,2389,2129,2452,2263,2960,2369,1849,2358,1935,2168,2196,2049,2405
"2012_01",2051,2481,2389,2181,2483,2011,2074,2482,1811,2191,2562,2542,2413,2143,2455,2278,2947,2424,1865,2396,1948,2196,2214,2068,2410
"2012_02",2046,2476,2392,2189,2495,2026,2121,2531,1831,2199,2567,2535,2425,2155,2474,2304,2877,2472,1850,2423,1970,2218,2238,2094,2416
"2012_03",2046,2462,2404,2200,2513,2026,2146,2567,1853,2226,2573,2513,2425,2160,2500,2349,2823,2489,1802,2427,1991,2221,2251,2104,2416
"2012_04",2039,2448,2424,2211,2536,2027,2172,2604,1891,2270,2577,2511,2429,2178,2520,2382,2865,2516,1746,2438,2016,2236,2258,2109,2414
"2012_05",2032,2439,2444,2228,2546,2032,2159,2638,1937,2283,2575,2504,2452,2196,2520,2407,2970,2527,1706,2442,2045,2255,2273,2120,2420
"2012_06",2035,2424,2449,2240,2539,2043,2155,2644,1981,2294,2572,2525,2462,2215,2521,2411,3086,2527,1705,2447,2077,2271,2293,2139,2434
"2012_07",2051,2435,2441,2251,2525,2046,2111,2625,2000,2272,2574,2522,2459,2224,2524,2399,3139,2469,1722,2437,2097,2260,2313,2147,2446
"2012_08",2047,2464,2412,2255,2509,2057,2056,2592,2010,2263,2588,2523,2429,2233,2526,2361,3155,2410,1747,2425,2113,2229,2321,2146,2450
"2012_09",2044,2505,2384,2265,2525,2073,1992,2576,2014,2246,2603,2512,2410,2248,2517,2329,3121,2359,1771,2417,2124,2208,2326,2148,2457
"2012_10",2031,2515,2344,2293,2549,2104,1976,2569,2024,2248,2623,2503,2390,2274,2499,2291,3086,2340,1782,2410,2142,2206,2332,2165,2469
"2012_11",2074,2526,2362,2326,2582,2148,1986,2583,2049,2268,2655,2506,2395,2288,2489,2299,3051,2320,1773,2426,2161,2231,2339,2202,2483
"2012_12",2083,2545,2338,2345,2576,2174,1998,2575,2069,2277,2689,2566,2403,2301,2480,2302,3020,2294,1743,2419,2183,2240,2355,2232,2485
"2013_01",2126,2576,2375,2353,2575,2204,2009,2560,2069,2307,2711,2666,2420,2297,2505,2337,2978,2296,1746,2409,2193,2254,2365,2268,2486
"2013_02",2150,2630,2391,2358,2590,2228,2027,2543,2059,2314,2722,2766,2452,2297,2546,2373,2956,2317,1784,2395,2207,2276,2385,2291,2499
"2013_03",2190,2683,2431,2356,2601,2230,2052,2534,2038,2332,2724,2854,2469,2295,2594,2401,2996,2350,1832,2387,2213,2294,2396,2305,2512
"2013_04",2223,2725,2447,2352,2611,2234,2069,2562,2022,2329,2726,2897,2484,2298,2630,2407,3038,2389,1866,2399,2217,2311,2405,2308,2527
"2013_05",2282,2732,2486,2358,2619,2252,2118,2590,2020,2349,2725,2903,2508,2302,2654,2429,3049,2433,1884,2428,2217,2344,2414,2326,2535
"2013_06",2324,2725,2530,2359,2641,2284,2189,2642,2030,2377,2725,2881,2537,2303,2642,2469,2995,2487,1894,2466,2214,2387,2413,2344,2535
"2013_07",2353,2700,2565,2357,2670,2300,2274,2691,2041,2412,2732,2860,2596,2301,2619,2502,2944,2543,1913,2500,2207,2434,2411,2352,2530
"2013_08",2369,2674,2605,2357,2704,2297,2340,2756,2044,2442,2754,2858,2648,2300,2592,2511,2893,2592,1902,2536,2199,2483,2401,2354,2526
"2013_09",2384,2658,2638,2374,2718,2277,2374,2789,2030,2444,2775,2852,2690,2303,2589,2508,2876,2612,1889,2566,2196,2528,2400,2351,2535
"2013_10",2391,2678,2654,2392,2732,2224,2349,2807,2005,2433,2789,2863,2705,2315,2624,2508,2874,2616,1843,2590,2199,2559,2409,2364,2549
"2013_11",2360,2713,2666,2413,2746,2175,2293,2831,1978,2393,2789,2855,2701,2325,2693,2489,2916,2609,1800,2598,2206,2569,2423,2362,2575
"2013_12",2322,2743,2638,2428,2758,2120,2254,2856,1964,2382,2775,2846,2681,2347,2770,2441,3014,2596,1765,2607,2214,2558,2447,2353,2593
"2014_01",2288,2784,2616,2460,2786,2109,2276,2879,1979,2403,2794,2840,2681,2371,2829,2367,3171,2609,1754,2630,2230,2542,2480,2349,2638
"2014_02",2315,2810,2622,2501,2840,2141,2357,2895,2015,2456,2836,2832,2709,2401,2878,2351,3330,2647,1779,2678,2258,2549,2522,2396,2695
"2014_03",2347,2843,2667,2548,2890,2172,2452,2905,2043,2493,2899,2870,2745,2434,2907,2377,3441,2698,1826,2723,2285,2555,2558,2420,2763
"2014_04",2402,2880,2742,2604,2921,2226,2525,2918,2065,2534,2969,2907,2777,2470,2938,2455,3494,2744,1887,2767,2306,2589,2598,2456,2818
"2014_05",2455,2929,2821,2654,2951,2290,2578,2938,2084,2575,3036,2959,2791,2503,2976,2514,3530,2778,1950,2808,2324,2633,2634,2484,2859
"2014_06",2516,2964,2868,2679,2973,2346,2594,2956,2102,2608,3090,2985,2805,2523,3017,2559,3577,2807,1979,2834,2336,2674,2658,2524,2881
"2014_07",2575,2982,2893,2697,3013,2413,2611,2983,2132,2648,3145,3021,2815,2545,3081,2606,3663,2861,2023,2874,2361,2711,2677,2561,2904
"2014_08",2624,2986,2905,2714,3058,2483,2633,3006,2176,2690,3195,3066,2846,2554,3155,2674,3755,2927,2046,2926,2391,2752,2706,2600,2937
"2014_09",2655,3003,2927,2736,3111,2560,2668,3051,2233,2745,3250,3124,2878,2572,3242,2743,3853,2996,2089,2981,2433,2786,2753,2643,2978
"2014_10",2682,3034,2973,2744,3154,2632,2714,3106,2292,2800,3279,3171,2914,2587,3295,2803,3914,3035,2135,3012,2467,2812,2791,2681,3018
"2014_11",2717,3072,3029,2755,3205,2693,2749,3177,2345,2862,3316,3188,2950,2616,3337,2854,3964,3050,2201,3047,2503,2839,2820,2719,3064
"2014_12",2772,3106,3070,2782,3240,2725,2792,3220,2380,2905,3351,3197,2978,2655,3350,2892,4005,3046,2285,3069,2536,2865,2843,2746,3107
"2015_01",2813,3110,3073,2820,3257,2743,2793,3256,2406,2926,3388,3195,2990,2711,3357,2928,4057,3044,2330,3095,2563,2891,2867,2764,3142
